id;name;full_name;owner;private;html_url;description;fork;url;forks_url;keys_url;collaborators_url;teams_url;hooks_url;issue_events_url;events_url;assignees_url;branches_url;tags_url;blobs_url;git_tags_url;git_refs_url;trees_url;statuses_url;languages_url;stargazers_url;contributors_url;subscribers_url;subscription_url;commits_url;git_commits_url;comments_url;issue_comment_url;contents_url;compare_url;merges_url;archive_url;downloads_url;issues_url;pulls_url;milestones_url;notifications_url;labels_url;releases_url;deployments_url;created_at;updated_at;pushed_at;git_url;ssh_url;clone_url;svn_url;homepage;size;stargazers_count;watchers_count;language;has_issues;has_projects;has_downloads;has_wiki;has_pages;forks_count;mirror_url;open_issues_count;forks;open_issues;watchers;default_branch;score;id_gitsearch;dt_clone;cd_classe;git_commit1;git_commit2;git_commit3;git_commit4;git_commit5;git_commit6;git_commit7;git_commit8;git_commit9;git_commit10;dt_issues;SHA_clone
106180797;dextrepo;dextprojects/dextrepo;"NamedUser(login=""dextprojects"")";False;https://github.com/dextprojects/dextrepo;;False;https://api.github.com/repos/dextprojects/dextrepo;https://api.github.com/repos/dextprojects/dextrepo/forks;https://api.github.com/repos/dextprojects/dextrepo/keys{/key_id};https://api.github.com/repos/dextprojects/dextrepo/collaborators{/collaborator};https://api.github.com/repos/dextprojects/dextrepo/teams;https://api.github.com/repos/dextprojects/dextrepo/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:54:31;;;;;;;9969;0;0;Java;;;;;;;;;;;;;;14;2018-05-12 15:05:49;;;;;;;;;;;;2018-07-19 10:53:51;c0068d1e46c22c82c86936b784b96b9ab7adc00e
105115436;Merchant-Service;zalakshah2503/Merchant-Service;"NamedUser(login=""zalakshah2503"")";False;https://github.com/zalakshah2503/Merchant-Service;;False;https://api.github.com/repos/zalakshah2503/Merchant-Service;https://api.github.com/repos/zalakshah2503/Merchant-Service/forks;https://api.github.com/repos/zalakshah2503/Merchant-Service/keys{/key_id};https://api.github.com/repos/zalakshah2503/Merchant-Service/collaborators{/collaborator};https://api.github.com/repos/zalakshah2503/Merchant-Service/teams;https://api.github.com/repos/zalakshah2503/Merchant-Service/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:54:36;;;;;;;78518;0;0;C#;;;;;;;;;;;;;;14;2018-05-12 15:05:34;;;;;;;;;;;;2018-07-19 10:53:55;dbf17ad9f90946be56a2f53b32695ca410a4a9e1
104697791;timeSlotManagementUI;SupriyaSgn/timeSlotManagementUI;"NamedUser(login=""SupriyaSgn"")";False;https://github.com/SupriyaSgn/timeSlotManagementUI;;False;https://api.github.com/repos/SupriyaSgn/timeSlotManagementUI;https://api.github.com/repos/SupriyaSgn/timeSlotManagementUI/forks;https://api.github.com/repos/SupriyaSgn/timeSlotManagementUI/keys{/key_id};https://api.github.com/repos/SupriyaSgn/timeSlotManagementUI/collaborators{/collaborator};https://api.github.com/repos/SupriyaSgn/timeSlotManagementUI/teams;https://api.github.com/repos/SupriyaSgn/timeSlotManagementUI/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:54:40;;;;;;;42266;0;0;HTML;;;;;;;;;;;;;;14;2018-05-12 15:05:30;;;;;;;;;;;;2018-07-19 10:53:58;b64cc874db987c51e7623fbec67edbb3894cd883
103559668;z-alert;JackieManuja/z-alert;"NamedUser(login=""JackieManuja"")";False;https://github.com/JackieManuja/z-alert;;False;https://api.github.com/repos/JackieManuja/z-alert;https://api.github.com/repos/JackieManuja/z-alert/forks;https://api.github.com/repos/JackieManuja/z-alert/keys{/key_id};https://api.github.com/repos/JackieManuja/z-alert/collaborators{/collaborator};https://api.github.com/repos/JackieManuja/z-alert/teams;https://api.github.com/repos/JackieManuja/z-alert/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:54:45;;;;;;;5823;0;0;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:05:17;;;;;;;;;;;;2018-07-16 23:09:45;
103375381;AIMS;AndersonGroupPHInternal/AIMS;"NamedUser(login=""AndersonGroupPHInternal"")";False;https://github.com/AndersonGroupPHInternal/AIMS;;False;https://api.github.com/repos/AndersonGroupPHInternal/AIMS;https://api.github.com/repos/AndersonGroupPHInternal/AIMS/forks;https://api.github.com/repos/AndersonGroupPHInternal/AIMS/keys{/key_id};https://api.github.com/repos/AndersonGroupPHInternal/AIMS/collaborators{/collaborator};https://api.github.com/repos/AndersonGroupPHInternal/AIMS/teams;https://api.github.com/repos/AndersonGroupPHInternal/AIMS/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:55:04;;;;;;;7435;0;0;HTML;;;;;;;;;;;;;;14;2018-05-12 15:05:15;;;;;;;;;;;;2018-07-16 23:10:24;c225564d024f1ae001efdcbe1a6da6ff8476c3b0
100723678;oss-pcf-gcp-retail-demo;pivotal-cf/oss-pcf-gcp-retail-demo;"NamedUser(login=""pivotal-cf"")";False;https://github.com/pivotal-cf/oss-pcf-gcp-retail-demo;PCF on GCP Retail Demo, Open Source version;False;https://api.github.com/repos/pivotal-cf/oss-pcf-gcp-retail-demo;https://api.github.com/repos/pivotal-cf/oss-pcf-gcp-retail-demo/forks;https://api.github.com/repos/pivotal-cf/oss-pcf-gcp-retail-demo/keys{/key_id};https://api.github.com/repos/pivotal-cf/oss-pcf-gcp-retail-demo/collaborators{/collaborator};https://api.github.com/repos/pivotal-cf/oss-pcf-gcp-retail-demo/teams;https://api.github.com/repos/pivotal-cf/oss-pcf-gcp-retail-demo/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:55:08;;;;;;;4010;15;15;HTML;;;;;;;;;;;;;;14;2018-05-12 15:05:02;;;;;;;;;;;;2018-07-16 23:10:28;3a01f369c06b91c25f3bd0ef301ba7ae03c1f990
100636581;shenkar-show-new;LISHAIASARAF/shenkar-show-new;"NamedUser(login=""LISHAIASARAF"")";False;https://github.com/LISHAIASARAF/shenkar-show-new;;False;https://api.github.com/repos/LISHAIASARAF/shenkar-show-new;https://api.github.com/repos/LISHAIASARAF/shenkar-show-new/forks;https://api.github.com/repos/LISHAIASARAF/shenkar-show-new/keys{/key_id};https://api.github.com/repos/LISHAIASARAF/shenkar-show-new/collaborators{/collaborator};https://api.github.com/repos/LISHAIASARAF/shenkar-show-new/teams;https://api.github.com/repos/LISHAIASARAF/shenkar-show-new/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:55:14;;;;;;;3945;0;0;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:05:00;;;;;;;;;;;;2018-07-19 10:54:03;2c23428512f193a3046873eabe030695b3f52b1d
100366080;shop;VutheaKorms/shop;"NamedUser(login=""VutheaKorms"")";False;https://github.com/VutheaKorms/shop;;False;https://api.github.com/repos/VutheaKorms/shop;https://api.github.com/repos/VutheaKorms/shop/forks;https://api.github.com/repos/VutheaKorms/shop/keys{/key_id};https://api.github.com/repos/VutheaKorms/shop/collaborators{/collaborator};https://api.github.com/repos/VutheaKorms/shop/teams;https://api.github.com/repos/VutheaKorms/shop/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:55:18;;;;;;;8815;0;0;HTML;;;;;;;;;;;;;;14;2018-05-12 15:04:57;;;;;;;;;;;;2018-07-19 10:54:07;e23834eac9aecdbc698fd31e1dc0991051a2711d
100225581;puma;Yashiro/puma;"NamedUser(login=""Yashiro"")";False;https://github.com/Yashiro/puma;;False;https://api.github.com/repos/Yashiro/puma;https://api.github.com/repos/Yashiro/puma/forks;https://api.github.com/repos/Yashiro/puma/keys{/key_id};https://api.github.com/repos/Yashiro/puma/collaborators{/collaborator};https://api.github.com/repos/Yashiro/puma/teams;https://api.github.com/repos/Yashiro/puma/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:55:24;;;;;;;5104;0;0;Java;;;;;;;;;;;;;;14;2018-05-12 15:04:55;;;;;;;;;;;;2018-07-19 10:54:11;bb70bb4abd38a1bc9952094eb5d8a6e3c2158e52
53742460;Social-Network;emina-saric/Social-Network;"NamedUser(login=""emina-saric"")";False;https://github.com/emina-saric/Social-Network;Projekat iz predmeta Napredne web tehnologije;False;https://api.github.com/repos/emina-saric/Social-Network;https://api.github.com/repos/emina-saric/Social-Network/forks;https://api.github.com/repos/emina-saric/Social-Network/keys{/key_id};https://api.github.com/repos/emina-saric/Social-Network/collaborators{/collaborator};https://api.github.com/repos/emina-saric/Social-Network/teams;https://api.github.com/repos/emina-saric/Social-Network/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-09 09:55:29;;;;;;;16829;3;3;JavaScript;;;;;;;;;;;;;;14;2018-05-12 15:21:23;;;;;;;;;;;;2018-07-19 10:54:15;6b9a8ffb99372a9e6f98bbcde3f043ae5580579e
