id,name,full_name,owner,framework,private,html_url,description,fork,url,forks_url,keys_url,collaborators_url,teams_url,hooks_url,issue_events_url,events_url,assignees_url,branches_url,tags_url,blobs_url,git_tags_url,git_refs_url,trees_url,statuses_url,languages_url,stargazers_url,contributors_url,subscribers_url,subscription_url,commits_url,git_commits_url,comments_url,issue_comment_url,contents_url,compare_url,merges_url,archive_url,downloads_url,issues_url,pulls_url,milestones_url,notifications_url,labels_url,releases_url,deployments_url,created_at,updated_at,pushed_at,git_url,ssh_url,clone_url,svn_url,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,forks,open_issues,watchers,default_branch,score,id_gitsearch,dt_clone,cd_classe,git_commit1,git_commit2,git_commit3,git_commit4,git_commit5,git_commit6,git_commit7,git_commit8,git_commit9,git_commit10,dt_issues,SHA_clone,has_CI_files,CI_files
42376372,g2l_raw,huynhkev/g2l_raw,"NamedUser(login=""huynhkev"")",angular-toggle-switch,FALSE,https://github.com/huynhkev/g2l_raw,Website for Global to Local,FALSE,https://api.github.com/repos/huynhkev/g2l_raw,https://api.github.com/repos/huynhkev/g2l_raw/forks,https://api.github.com/repos/huynhkev/g2l_raw/keys{/key_id},https://api.github.com/repos/huynhkev/g2l_raw/collaborators{/collaborator},https://api.github.com/repos/huynhkev/g2l_raw/teams,https://api.github.com/repos/huynhkev/g2l_raw/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:15,,,,,,,8797,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:17,,,,,,,,,,,,7/19/2018 16:44,63f9353245f423eb409ee8c0bfd1b2cdede38329,FALSE,[]
42290444,CHP_Web_V1.0_Front,Deemsys43230/CHP_Web_V1.0_Front,"NamedUser(login=""Deemsys43230"")",angular-toggle-switch,FALSE,https://github.com/Deemsys43230/CHP_Web_V1.0_Front,CH Project,FALSE,https://api.github.com/repos/Deemsys43230/CHP_Web_V1.0_Front,https://api.github.com/repos/Deemsys43230/CHP_Web_V1.0_Front/forks,https://api.github.com/repos/Deemsys43230/CHP_Web_V1.0_Front/keys{/key_id},https://api.github.com/repos/Deemsys43230/CHP_Web_V1.0_Front/collaborators{/collaborator},https://api.github.com/repos/Deemsys43230/CHP_Web_V1.0_Front/teams,https://api.github.com/repos/Deemsys43230/CHP_Web_V1.0_Front/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:15,,,,,,,67404,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:17,,,,,,,,,,,,7/19/2018 16:45,ca10e349d533843144da1cf10cfca449eed6f8e0,FALSE,[]
42108260,S.A.R,Karthikcse/S.A.R,"NamedUser(login=""Karthikcse"")",angular-toggle-switch,FALSE,https://github.com/Karthikcse/S.A.R,,FALSE,https://api.github.com/repos/Karthikcse/S.A.R,https://api.github.com/repos/Karthikcse/S.A.R/forks,https://api.github.com/repos/Karthikcse/S.A.R/keys{/key_id},https://api.github.com/repos/Karthikcse/S.A.R/collaborators{/collaborator},https://api.github.com/repos/Karthikcse/S.A.R/teams,https://api.github.com/repos/Karthikcse/S.A.R/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:15,,,,,,,5068,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:17,,,,,,,,,,,,7/19/2018 16:45,,FALSE,
42029468,SystemManagement,chiennb/SystemManagement,"NamedUser(login=""chiennb"")",angular-toggle-switch,FALSE,https://github.com/chiennb/SystemManagement,,FALSE,https://api.github.com/repos/chiennb/SystemManagement,https://api.github.com/repos/chiennb/SystemManagement/forks,https://api.github.com/repos/chiennb/SystemManagement/keys{/key_id},https://api.github.com/repos/chiennb/SystemManagement/collaborators{/collaborator},https://api.github.com/repos/chiennb/SystemManagement/teams,https://api.github.com/repos/chiennb/SystemManagement/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:15,,,,,,,3420,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,d593c2a4675762e9c345901c6fa125959b5f0e9d,FALSE,[]
41953580,myPolicy,tanzl88/myPolicy,"NamedUser(login=""tanzl88"")",angular-toggle-switch,FALSE,https://github.com/tanzl88/myPolicy,,FALSE,https://api.github.com/repos/tanzl88/myPolicy,https://api.github.com/repos/tanzl88/myPolicy/forks,https://api.github.com/repos/tanzl88/myPolicy/keys{/key_id},https://api.github.com/repos/tanzl88/myPolicy/collaborators{/collaborator},https://api.github.com/repos/tanzl88/myPolicy/teams,https://api.github.com/repos/tanzl88/myPolicy/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,9194,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,f65c4dca416087d2773d0473fd60716d4bdedb36,FALSE,[]
41926668,APPet,APPet-un/APPet,"NamedUser(login=""APPet-un"")",angular-toggle-switch,FALSE,https://github.com/APPet-un/APPet,,FALSE,https://api.github.com/repos/APPet-un/APPet,https://api.github.com/repos/APPet-un/APPet/forks,https://api.github.com/repos/APPet-un/APPet/keys{/key_id},https://api.github.com/repos/APPet-un/APPet/collaborators{/collaborator},https://api.github.com/repos/APPet-un/APPet/teams,https://api.github.com/repos/APPet-un/APPet/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,109819,0,0,Groovy,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,98b1e40b95ab578525a6baa80bb50be732378759,FALSE,[]
41830983,CMACSkiBrain,tomhon/CMACSkiBrain,"NamedUser(login=""tomhon"")",angular-toggle-switch,FALSE,https://github.com/tomhon/CMACSkiBrain,CMAC Volunteer Management System,FALSE,https://api.github.com/repos/tomhon/CMACSkiBrain,https://api.github.com/repos/tomhon/CMACSkiBrain/forks,https://api.github.com/repos/tomhon/CMACSkiBrain/keys{/key_id},https://api.github.com/repos/tomhon/CMACSkiBrain/collaborators{/collaborator},https://api.github.com/repos/tomhon/CMACSkiBrain/teams,https://api.github.com/repos/tomhon/CMACSkiBrain/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,6532,0,0,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,6803da2b335d82ac60563beee4507b3f5a3f97b6,FALSE,[]
41799418,mediboard,vinopm/mediboard,"NamedUser(login=""vinopm"")",angular-toggle-switch,FALSE,https://github.com/vinopm/mediboard,,FALSE,https://api.github.com/repos/vinopm/mediboard,https://api.github.com/repos/vinopm/mediboard/forks,https://api.github.com/repos/vinopm/mediboard/keys{/key_id},https://api.github.com/repos/vinopm/mediboard/collaborators{/collaborator},https://api.github.com/repos/vinopm/mediboard/teams,https://api.github.com/repos/vinopm/mediboard/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,222402,0,0,HTML,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,,FALSE,
41660176,uisp-mobile,avannini/uisp-mobile,"NamedUser(login=""avannini"")",angular-toggle-switch,FALSE,https://github.com/avannini/uisp-mobile,,FALSE,https://api.github.com/repos/avannini/uisp-mobile,https://api.github.com/repos/avannini/uisp-mobile/forks,https://api.github.com/repos/avannini/uisp-mobile/keys{/key_id},https://api.github.com/repos/avannini/uisp-mobile/collaborators{/collaborator},https://api.github.com/repos/avannini/uisp-mobile/teams,https://api.github.com/repos/avannini/uisp-mobile/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,253016,0,0,C#,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,,FALSE,
41637991,DataMangler,polytropoi/DataMangler,"NamedUser(login=""polytropoi"")",angular-toggle-switch,FALSE,https://github.com/polytropoi/DataMangler,"A simple user data management system for Unity games, built on the MEAN stack   ",FALSE,https://api.github.com/repos/polytropoi/DataMangler,https://api.github.com/repos/polytropoi/DataMangler/forks,https://api.github.com/repos/polytropoi/DataMangler/keys{/key_id},https://api.github.com/repos/polytropoi/DataMangler/collaborators{/collaborator},https://api.github.com/repos/polytropoi/DataMangler/teams,https://api.github.com/repos/polytropoi/DataMangler/hooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/9/2018 10:16,,,,,,,12203,1,1,JavaScript,,,,,,,,,,,,,,14,5/12/2018 15:16,,,,,,,,,,,,7/19/2018 16:45,73f1b647a852fa63804215a4dcc8ae5db6d354a7,FALSE,[]
