id;name;full_name;owner;private;html_url;description;fork;url;forks_url;keys_url;collaborators_url;teams_url;hooks_url;issue_events_url;events_url;assignees_url;branches_url;tags_url;blobs_url;git_tags_url;git_refs_url;trees_url;statuses_url;languages_url;stargazers_url;contributors_url;subscribers_url;subscription_url;commits_url;git_commits_url;comments_url;issue_comment_url;contents_url;compare_url;merges_url;archive_url;downloads_url;issues_url;pulls_url;milestones_url;notifications_url;labels_url;releases_url;deployments_url;created_at;updated_at;pushed_at;git_url;ssh_url;clone_url;svn_url;homepage;size;stargazers_count;watchers_count;language;has_issues;has_projects;has_downloads;has_wiki;has_pages;forks_count;mirror_url;open_issues_count;forks;open_issues;watchers;default_branch;score;id_gitsearch;dt_clone;cd_classe;git_commit1;git_commit2;git_commit3;git_commit4;git_commit5;git_commit6;git_commit7;git_commit8;git_commit9;git_commit10;dt_issues
128623167;spring-boot-react-demo;jon1410/spring-boot-react-demo;"NamedUser(login=""jon1410"")";False;https://github.com/jon1410/spring-boot-react-demo;;False;https://api.github.com/repos/jon1410/spring-boot-react-demo;https://api.github.com/repos/jon1410/spring-boot-react-demo/forks;https://api.github.com/repos/jon1410/spring-boot-react-demo/keys{/key_id};https://api.github.com/repos/jon1410/spring-boot-react-demo/collaborators{/collaborator};https://api.github.com/repos/jon1410/spring-boot-react-demo/teams;https://api.github.com/repos/jon1410/spring-boot-react-demo/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 15:54:56;;;;;;;57;0;0;Shell;;;;;;;;;;;;;;1;2018-05-12 15:09:54;;;;;;;;;;;;2018-07-19 04:41:01
89386914;MVC;a08maheshwari/MVC;"NamedUser(login=""a08maheshwari"")";False;https://github.com/a08maheshwari/MVC;;False;https://api.github.com/repos/a08maheshwari/MVC;https://api.github.com/repos/a08maheshwari/MVC/forks;https://api.github.com/repos/a08maheshwari/MVC/keys{/key_id};https://api.github.com/repos/a08maheshwari/MVC/collaborators{/collaborator};https://api.github.com/repos/a08maheshwari/MVC/teams;https://api.github.com/repos/a08maheshwari/MVC/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 17:32:20;;;;;;;66538;0;0;Java;;;;;;;;;;;;;;1;2018-05-12 15:30:50;;;;;;;;;;;;2018-07-19 04:41:05
8484604;ORCID-Source;ORCID/ORCID-Source;"NamedUser(login=""ORCID"")";False;https://github.com/ORCID/ORCID-Source;ORCID Open Source Project;False;https://api.github.com/repos/ORCID/ORCID-Source;https://api.github.com/repos/ORCID/ORCID-Source/forks;https://api.github.com/repos/ORCID/ORCID-Source/keys{/key_id};https://api.github.com/repos/ORCID/ORCID-Source/collaborators{/collaborator};https://api.github.com/repos/ORCID/ORCID-Source/teams;https://api.github.com/repos/ORCID/ORCID-Source/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 21:14:15;;;;;;;120480;129;129;Java;;;;;;;;;;;;;;1;2018-05-12 15:29:56;;;;;;;;;;;;2018-07-16 14:10:24
126748057;togglz-sb2-demo;ruifigueira/togglz-sb2-demo;"NamedUser(login=""ruifigueira"")";False;https://github.com/ruifigueira/togglz-sb2-demo;;False;https://api.github.com/repos/ruifigueira/togglz-sb2-demo;https://api.github.com/repos/ruifigueira/togglz-sb2-demo/forks;https://api.github.com/repos/ruifigueira/togglz-sb2-demo/keys{/key_id};https://api.github.com/repos/ruifigueira/togglz-sb2-demo/collaborators{/collaborator};https://api.github.com/repos/ruifigueira/togglz-sb2-demo/teams;https://api.github.com/repos/ruifigueira/togglz-sb2-demo/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 21:14:18;;;;;;;47;0;0;Shell;;;;;;;;;;;;;;1;2018-05-12 15:09:38;;;;;;;;;;;;2018-07-19 04:41:09
126371844;spring_security-good-one;naimishk/spring_security-good-one;"NamedUser(login=""naimishk"")";False;https://github.com/naimishk/spring_security-good-one;;False;https://api.github.com/repos/naimishk/spring_security-good-one;https://api.github.com/repos/naimishk/spring_security-good-one/forks;https://api.github.com/repos/naimishk/spring_security-good-one/keys{/key_id};https://api.github.com/repos/naimishk/spring_security-good-one/collaborators{/collaborator};https://api.github.com/repos/naimishk/spring_security-good-one/teams;https://api.github.com/repos/naimishk/spring_security-good-one/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 22:52:02;;;;;;;66438;0;0;Java;;;;;;;;;;;;;;1;2018-05-12 15:09:34;;;;;;;;;;;;2018-07-19 04:41:12
126279499;onap-sdc;aroundble/onap-sdc;"NamedUser(login=""aroundble"")";False;https://github.com/aroundble/onap-sdc;;False;https://api.github.com/repos/aroundble/onap-sdc;https://api.github.com/repos/aroundble/onap-sdc/forks;https://api.github.com/repos/aroundble/onap-sdc/keys{/key_id};https://api.github.com/repos/aroundble/onap-sdc/collaborators{/collaborator};https://api.github.com/repos/aroundble/onap-sdc/teams;https://api.github.com/repos/aroundble/onap-sdc/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 23:07:01;;;;;;;157637;0;0;Java;;;;;;;;;;;;;;1;2018-05-12 15:09:29;;;;;;;;;;;;2018-07-19 04:41:16
43232872;logistics;esign-consulting/logistics;"NamedUser(login=""esign-consulting"")";False;https://github.com/esign-consulting/logistics;Demo application to create maps with routes in order to find out the best way to deliver products.;False;https://api.github.com/repos/esign-consulting/logistics;https://api.github.com/repos/esign-consulting/logistics/forks;https://api.github.com/repos/esign-consulting/logistics/keys{/key_id};https://api.github.com/repos/esign-consulting/logistics/collaborators{/collaborator};https://api.github.com/repos/esign-consulting/logistics/teams;https://api.github.com/repos/esign-consulting/logistics/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 23:07:48;;;;;;;279;0;0;Java;;;;;;;;;;;;;;1;2018-05-12 15:17:34;;;;;;;;;;;;2018-07-16 14:10:29
111040798;research-code;onyas/research-code;"NamedUser(login=""onyas"")";False;https://github.com/onyas/research-code;;False;https://api.github.com/repos/onyas/research-code;https://api.github.com/repos/onyas/research-code/forks;https://api.github.com/repos/onyas/research-code/keys{/key_id};https://api.github.com/repos/onyas/research-code/collaborators{/collaborator};https://api.github.com/repos/onyas/research-code/teams;https://api.github.com/repos/onyas/research-code/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 23:08:01;;;;;;;37;0;0;Java;;;;;;;;;;;;;;1;2018-05-12 15:06:51;;;;;;;;;;;;2018-07-19 04:41:20
53135203;FredBoat;Frederikam/FredBoat;"NamedUser(login=""Frederikam"")";False;https://github.com/Frederikam/FredBoat;A Discord music bot;False;https://api.github.com/repos/Frederikam/FredBoat;https://api.github.com/repos/Frederikam/FredBoat/forks;https://api.github.com/repos/Frederikam/FredBoat/keys{/key_id};https://api.github.com/repos/Frederikam/FredBoat/collaborators{/collaborator};https://api.github.com/repos/Frederikam/FredBoat/teams;https://api.github.com/repos/Frederikam/FredBoat/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 23:26:23;;;;;;;11823;193;193;Java;;;;;;;;;;;;;;1;2018-05-12 15:21:18;;;;;;;;;;;;2018-07-16 14:23:15
124541856;invitationserviceTest;Hobba/invitationserviceTest;"NamedUser(login=""Hobba"")";False;https://github.com/Hobba/invitationserviceTest;;False;https://api.github.com/repos/Hobba/invitationserviceTest;https://api.github.com/repos/Hobba/invitationserviceTest/forks;https://api.github.com/repos/Hobba/invitationserviceTest/keys{/key_id};https://api.github.com/repos/Hobba/invitationserviceTest/collaborators{/collaborator};https://api.github.com/repos/Hobba/invitationserviceTest/teams;https://api.github.com/repos/Hobba/invitationserviceTest/hooks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2018-07-07 23:29:44;;;;;;;12355;0;0;Java;;;;;;;;;;;;;;1;2018-05-12 15:09:12;;;;;;;;;;;;2018-07-19 04:41:24
