owner,name,createdAt,pushedAt,isMirror,diskUsage,primaryLanguage,languages,contributors,watchers,stargazers,forks,issues,commits,pullRequests,branches,tags,releases,description,project
justauth,JustAuth,1/31/2019 9:42,8/23/2019 12:07,FALSE,620,Java,1,6,96,2929,451,9,342,33,2,22,22,":100: 史上最全的整合第三方登录的开源库。目前已支持Github、Gitee、微博、钉钉、百度、Coding、腾讯云开发者平台、OSChina、支付宝、QQ、微信、淘宝、Google、Facebook、抖音、领英、小米、微软、今日头条、Teambition、StackOverflow、Pinterest、人人、华为和企业微信等第三方平台的授权登录。 Login, so easy!",justauth/JustAuth
jfinal,jfinal,4/25/2012 8:48,8/20/2019 13:16,FALSE,2167,Java,1,17,372,2922,1336,112,412,59,2,24,0,JAVA WEB + ORM Framework,jfinal/jfinal
evanw,node-source-map-support,1/18/2013 7:59,8/4/2019 4:46,FALSE,598,JavaScript,3,57,21,1458,196,121,294,130,1,34,0,Adds source map support to node.js (for stack traces),evanw/node-source-map-support
rwieruch,favesound-redux,1/27/2016 21:43,6/17/2019 6:58,FALSE,507,JavaScript,2,15,40,1457,226,62,379,65,3,0,0,🎶 A SoundCloud Client in React + Redux running in production. Live Demo and Source Code to explore React + Redux as a beginner.,rwieruch/favesound-redux
standardnotes,web,12/5/2016 23:31,7/31/2019 13:54,FALSE,5354,JavaScript,6,16,44,1456,125,192,1023,93,1,5,5,"A free, open-source, and completely encrypted notes app. | https://standardnotes.org",standardnotes/web
mikehostetler,amplify,2/9/2011 22:11,6/25/2019 8:43,FALSE,1571,JavaScript,2,18,45,1458,154,88,205,35,7,6,0,AmplifyJS,mikehostetler/amplify
yujiosaka,headless-chrome-crawler,12/2/2017 7:12,8/20/2019 11:43,FALSE,1314,JavaScript,1,7,107,4187,269,110,663,243,276,21,20,Distributed crawler powered by Headless Chrome,yujiosaka/headless-chrome-crawler
nhn,tui.chart,7/31/2015 1:18,7/12/2019 1:35,FALSE,64003,JavaScript,3,19,91,4185,211,137,2043,81,4,70,57,🍞📊  Beautiful chart for data visualization.,nhn/tui.chart
verlok,lazyload,11/10/2014 17:49,7/30/2019 20:07,FALSE,2524,JavaScript,1,31,91,4184,419,299,1135,64,3,121,52,"LazyLoad is a fast, lightweight and flexible script that speeds up your web application by loading your content images, videos and iframes only as they enter the viewport. It's written in plain ""vanilla"" JavaScript, it leverages the IntersectionObserver API, it works with responsive images and it supports native lazy loading.",verlok/lazyload
nodegit,nodegit,2/18/2011 16:42,8/22/2019 22:31,FALSE,49740,JavaScript,5,139,73,4182,582,926,3547,788,23,113,79,Native Node bindings to Git.,nodegit/nodegit
tomchentw,react-google-maps,10/24/2014 3:44,8/10/2019 4:13,FALSE,11332,JavaScript,1,64,103,4180,845,750,937,255,1,101,0,React.js Google Maps integration component,tomchentw/react-google-maps
koajs,examples,11/28/2013 4:59,2/10/2021 4:37,FALSE,155,JavaScript,2,64,136,4157,729,38,221,102,3,0,0,Example Koa apps,koajs/examples
stripe,stripe-node,9/28/2011 0:28,8/18/2019 18:12,FALSE,1487,JavaScript,1,253,67,2025,354,346,923,328,27,159,74,Node.js library for the Stripe API.    ,stripe/stripe-node
xiaolin3303,wx-charts,11/28/2016 9:56,6/19/2019 8:36,FALSE,2339,JavaScript,1,2,176,3695,1167,372,174,14,1,0,0,微信小程序图表charts组件，Charts for WeChat small app,xiaolin3303/wx-charts
yeoman,generator-webapp,2/2/2014 17:08,6/27/2019 20:41,FALSE,4930,JavaScript,3,126,153,3692,749,484,685,280,3,65,33,A gulp.js generator for modern webapps,yeoman/generator-webapp
wux-weapp,wux-weapp,1/10/2017 3:12,7/29/2019 10:08,FALSE,46146,JavaScript,1,9,147,3684,726,275,504,25,4,27,26,:dog: 一套组件化、可复用、易扩展的微信小程序 UI 组件库,wux-weapp/wux-weapp
