project,sha,merge_effort
microsoft/MixedRealityToolkit-Unity,0f9578f5fb95e307436afc80eaa44e04569213c4,0
microsoft/MixedRealityToolkit-Unity,8d8f8513c5e96bc89be782ccde776fa65883071d,0
microsoft/MixedRealityToolkit-Unity,9aae2810bb22adef57ee33cd2d6c0092fd0af663,0
microsoft/MixedRealityToolkit-Unity,6d53a1ad28493f3a1e1471064d2955755faf28c5,0
microsoft/MixedRealityToolkit-Unity,669ac0f25764450867dde9b04b17d70f66542376,0
microsoft/MixedRealityToolkit-Unity,2d1ed6e41184d60a60fc0499c796468b462da47e,0
microsoft/MixedRealityToolkit-Unity,bcd1121426f156fb39909613c0dcb94e87046eb5,0
microsoft/MixedRealityToolkit-Unity,cb1298af2d532155df1290d31da4acb301808f7d,0
microsoft/MixedRealityToolkit-Unity,550d6e379733df344752bbb4ac29d3fc9527f5bf,0
microsoft/MixedRealityToolkit-Unity,44b6aa33231a0d5bb1eb840ed4d83aede3907d1f,0
microsoft/MixedRealityToolkit-Unity,c9fb3c5f1a92b56b69e800c9b8da4d5c56ae8486,0
microsoft/MixedRealityToolkit-Unity,7698358f3e1eaa635bf23df2e086bb2227046c10,0
microsoft/MixedRealityToolkit-Unity,7e75c22c730d7c6f6b317f6049d15dfd23b02a25,0
microsoft/MixedRealityToolkit-Unity,6d8bfe630b161f475db90a2f88044ab37676d843,0
microsoft/MixedRealityToolkit-Unity,10019fe2cf95c2a14ebd337aa7b59cad3e832da2,0
microsoft/MixedRealityToolkit-Unity,d42eec85bc2c89d58e95c5de3149c2ede9a55fd4,0
microsoft/MixedRealityToolkit-Unity,96ee1c976392cfee05cebb1f118753887c2c4039,0
microsoft/MixedRealityToolkit-Unity,a6509a4485af26440cdcde05ee2fdcb59327a72b,0
microsoft/MixedRealityToolkit-Unity,3241fdbde2a90cb63e28287e4df4996c8867bfba,0
microsoft/MixedRealityToolkit-Unity,1300c03373c55e053655767f11ccbf6efc3e0586,0
microsoft/MixedRealityToolkit-Unity,9b3bbafa9f61f7b779c9f9c95009604c7c405a2f,0
microsoft/MixedRealityToolkit-Unity,3a9b01726fe7470e3d7da9fd7e897b0ea3c89602,0
microsoft/MixedRealityToolkit-Unity,ef0c428d0c3792fd770c6bc533ee0bfc7cf2a566,0
microsoft/MixedRealityToolkit-Unity,d29700026d75a05300f66b8cffa0fbeaa3707f28,0
microsoft/MixedRealityToolkit-Unity,48d963b83e42b6daa27c225db8bee94d83158920,9
microsoft/MixedRealityToolkit-Unity,89dc1f1670053523259c706edfe9aac0e5a5ae80,0
microsoft/MixedRealityToolkit-Unity,13dfd292326d2f9a0dcd5b297ab6200d0815c24c,0
microsoft/MixedRealityToolkit-Unity,2602f09033f9cbd820d15a8f3e6ca062bd4ff44e,0
microsoft/MixedRealityToolkit-Unity,f879953cc9e95a96ca65d5ec42f1f5ca3761fe99,0
microsoft/MixedRealityToolkit-Unity,c1d7805f8e640baba35c7d7dad9df9640087e4a0,0
microsoft/MixedRealityToolkit-Unity,63515f799c2942b0a15851ba8d70f85281518599,0
microsoft/MixedRealityToolkit-Unity,66040d18a652e680b0e8e980a899b526c4ad1e67,0
microsoft/MixedRealityToolkit-Unity,168fd6f4112831a9eefade8125dad4434ea0bfbb,0
microsoft/MixedRealityToolkit-Unity,9fb253b4f886af4f989308c87d7f457a36b72907,0
microsoft/MixedRealityToolkit-Unity,cf3549fc49f01165aa32922d8f78a268780e1ab0,0
microsoft/MixedRealityToolkit-Unity,424b5683af9900c095eb7773e8a769712f501053,0
microsoft/MixedRealityToolkit-Unity,b4bfc19c7d012b61a3234660d954c3de8d1da633,0
microsoft/MixedRealityToolkit-Unity,331ae4200ecbaf1ec49fdb8be6c44a855645f19e,0
microsoft/MixedRealityToolkit-Unity,58e5647111e02bf4088c39984dbff8e59b7d7888,0
microsoft/MixedRealityToolkit-Unity,d197c18c071a1cdc37343cacd82bbb2f396bef79,0
microsoft/MixedRealityToolkit-Unity,c765fe51bb49030896d862819f03a04a7e052ba0,0
microsoft/MixedRealityToolkit-Unity,da3116b53c27481c10b4e16e3e2ae0bd4d8be408,0
microsoft/MixedRealityToolkit-Unity,02d1384fbd8840981cb5e97f2b4860fceb119ce2,0
microsoft/MixedRealityToolkit-Unity,86edf3e1dd54bab55cadd874998566eed5530ccb,9
microsoft/MixedRealityToolkit-Unity,7054659ce8e0bdfa61024c4a403647eec1b80820,0
microsoft/MixedRealityToolkit-Unity,a23059daf139981946c6d61ba57df29f9c034b70,0
microsoft/MixedRealityToolkit-Unity,bf796e5803c27ec1aae2fcb130d323a85d52bcd7,0
microsoft/MixedRealityToolkit-Unity,e55c715f1a5be6c90273f2b7a955296eafdb25e3,0
microsoft/MixedRealityToolkit-Unity,a6218b800d14ae286dd07c996c2d12dbc0783b31,0
microsoft/MixedRealityToolkit-Unity,9c64fffcd9ad4b89de28436d610346c4583d5ec6,0
microsoft/MixedRealityToolkit-Unity,2864f2dda48d8f729bded3d70d9ec8a70c586eb6,0
microsoft/MixedRealityToolkit-Unity,bedb1cf6bf5b23592150abd02fe2ed5ee5b3a264,0
microsoft/MixedRealityToolkit-Unity,73339968f289ab76e6c464e13ae1c8363df12f1f,0
microsoft/MixedRealityToolkit-Unity,c9e898e3f73976ce62e3825636d02470ec623f55,32
microsoft/MixedRealityToolkit-Unity,a5d1a4549efae1bd9f7dcc42d2bac064c2d40d60,0
microsoft/MixedRealityToolkit-Unity,c4f42e8937b56d41d8bb9c23e0237d0918a71bfc,0
microsoft/MixedRealityToolkit-Unity,2669492b95bdfbc3b435c24708b22daa198d96d6,0
microsoft/MixedRealityToolkit-Unity,da7c1e16920f8838442b76e6f39ad7afa98e3305,0
microsoft/MixedRealityToolkit-Unity,5ed6348e979feb5ad4f9a43db05be2881d8b9cdc,0
